SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Description,StockQuantity
SS-ACC-PH001-1-2-202,SS Elbow 1/2 (202),Accessories,pc,12,8903001001001,202,1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-2-304,SS Elbow 1/2 (304),Accessories,pc,15,8903001001002,304,1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-5-8-202,SS Elbow 5/8 (202),Accessories,pc,13,8903001001003,202,5/8,SS Elbow — PH001 price list,0
SS-ACC-PH001-5-8-304,SS Elbow 5/8 (304),Accessories,pc,17,8903001001004,304,5/8,SS Elbow — PH001 price list,0
SS-ACC-PH001-3-4-202,SS Elbow 3/4 (202),Accessories,pc,14,8903001001005,202,3/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-3-4-304,SS Elbow 3/4 (304),Accessories,pc,22,8903001001006,304,3/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-7-8-202,SS Elbow 7/8 (202),Accessories,pc,15,8903001001007,202,7/8,SS Elbow — PH001 price list,0
SS-ACC-PH001-7-8-304,SS Elbow 7/8 (304),Accessories,pc,24,8903001001008,304,7/8,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-202,SS Elbow 1 (202),Accessories,pc,16,8903001001009,202,1,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-304,SS Elbow 1 (304),Accessories,pc,27,8903001001010,304,1,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-1-4-202,SS Elbow 1-1/4 (202),Accessories,pc,22,8903001001011,202,1-1/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-1-4-304,SS Elbow 1-1/4 (304),Accessories,pc,34,8903001001012,304,1-1/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-1-2-202,SS Elbow 1-1/2 (202),Accessories,pc,24,8903001001013,202,1-1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-1-2-304,SS Elbow 1-1/2 (304),Accessories,pc,40,8903001001014,304,1-1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-3-4-202,SS Elbow 1-3/4 (202),Accessories,pc,32,8903001001015,202,1-3/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-1-3-4-304,SS Elbow 1-3/4 (304),Accessories,pc,51,8903001001016,304,1-3/4,SS Elbow — PH001 price list,0
SS-ACC-PH001-2-202,SS Elbow 2 (202),Accessories,pc,35,8903001001017,202,2,SS Elbow — PH001 price list,0
SS-ACC-PH001-2-304,SS Elbow 2 (304),Accessories,pc,53,8903001001018,304,2,SS Elbow — PH001 price list,0
SS-ACC-PH001-2-1-2-202,SS Elbow 2-1/2 (202),Accessories,pc,50,8903001001019,202,2-1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-2-1-2-304,SS Elbow 2-1/2 (304),Accessories,pc,87,8903001001020,304,2-1/2,SS Elbow — PH001 price list,0
SS-ACC-PH001-3-202,SS Elbow 3 (202),Accessories,pc,80,8903001001021,202,3,SS Elbow — PH001 price list,0
SS-ACC-PH001-3-304,SS Elbow 3 (304),Accessories,pc,120,8903001001022,304,3,SS Elbow — PH001 price list,0
SS-ACC-PH001-4-202,SS Elbow 4 (202),Accessories,pc,170,8903001001023,202,4,SS Elbow — PH001 price list,0
SS-ACC-PH001-4-304,SS Elbow 4 (304),Accessories,pc,260,8903001001024,304,4,SS Elbow — PH001 price list,0
SS-ACC-PH002-1X1-202,SS SQ Elbow 1x1 (202),Accessories,pc,42,8903001001025,202,1x1,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1X1-304,SS SQ Elbow 1x1 (304),Accessories,pc,50,8903001001026,304,1x1,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-4X1-1-4-202,SS SQ Elbow 1-1/4x1-1/4 (202),Accessories,pc,50,8903001001027,202,1-1/4x1-1/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-4X1-1-4-304,SS SQ Elbow 1-1/4x1-1/4 (304),Accessories,pc,65,8903001001028,304,1-1/4x1-1/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-2X1-1-2-202,SS SQ Elbow 1-1/2x1-1/2 (202),Accessories,pc,70,8903001001029,202,1-1/2x1-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-2X1-1-2-304,SS SQ Elbow 1-1/2x1-1/2 (304),Accessories,pc,80,8903001001030,304,1-1/2x1-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2X2-202,SS SQ Elbow 2x2 (202),Accessories,pc,90,8903001001031,202,2x2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2X2-304,SS SQ Elbow 2x2 (304),Accessories,pc,110,8903001001032,304,2x2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-3-4-202,SS SQ Elbow 3/4 (202),Accessories,pc,29,8903001001033,202,3/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-3-4-304,SS SQ Elbow 3/4 (304),Accessories,pc,48,8903001001034,304,3/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-7-8-202,SS SQ Elbow 7/8 (202),Accessories,pc,33,8903001001035,202,7/8,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-7-8-304,SS SQ Elbow 7/8 (304),Accessories,pc,55,8903001001036,304,7/8,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-202,SS SQ Elbow 1 (202),Accessories,pc,38,8903001001037,202,1,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-304,SS SQ Elbow 1 (304),Accessories,pc,63,8903001001038,304,1,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-4-202,SS SQ Elbow 1-1/4 (202),Accessories,pc,42,8903001001039,202,1-1/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-4-304,SS SQ Elbow 1-1/4 (304),Accessories,pc,65,8903001001040,304,1-1/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-2-202,SS SQ Elbow 1-1/2 (202),Accessories,pc,50,8903001001041,202,1-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-1-2-304,SS SQ Elbow 1-1/2 (304),Accessories,pc,70,8903001001042,304,1-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-3-4-202,SS SQ Elbow 1-3/4 (202),Accessories,pc,60,8903001001043,202,1-3/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-1-3-4-304,SS SQ Elbow 1-3/4 (304),Accessories,pc,93,8903001001044,304,1-3/4,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2-202,SS SQ Elbow 2 (202),Accessories,pc,65,8903001001045,202,2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2-304,SS SQ Elbow 2 (304),Accessories,pc,100,8903001001046,304,2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2-1-2-202,SS SQ Elbow 2-1/2 (202),Accessories,pc,90,8903001001047,202,2-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH002-2-1-2-304,SS SQ Elbow 2-1/2 (304),Accessories,pc,135,8903001001048,304,2-1/2,SS SQ Elbow — PH002 price list,0
SS-ACC-PH003-3-4-202,SS Flange 3/4 (202),Accessories,pc,20,8903001001049,202,3/4,SS Flange — PH003 price list,0
SS-ACC-PH003-3-4-304,SS Flange 3/4 (304),Accessories,pc,25,8903001001050,304,3/4,SS Flange — PH003 price list,0
SS-ACC-PH003-1-202,SS Flange 1 (202),Accessories,pc,20,8903001001051,202,1,SS Flange — PH003 price list,0
SS-ACC-PH003-1-304,SS Flange 1 (304),Accessories,pc,30,8903001001052,304,1,SS Flange — PH003 price list,0
SS-ACC-PH003-1-1-4-202,SS Flange 1-1/4 (202),Accessories,pc,22,8903001001053,202,1-1/4,SS Flange — PH003 price list,0
SS-ACC-PH003-1-1-4-304,SS Flange 1-1/4 (304),Accessories,pc,38,8903001001054,304,1-1/4,SS Flange — PH003 price list,0
SS-ACC-PH003-1-1-2-202,SS Flange 1-1/2 (202),Accessories,pc,33,8903001001055,202,1-1/2,SS Flange — PH003 price list,0
SS-ACC-PH003-1-1-2-304,SS Flange 1-1/2 (304),Accessories,pc,43,8903001001056,304,1-1/2,SS Flange — PH003 price list,0
SS-ACC-PH003-1-3-4-202,SS Flange 1-3/4 (202),Accessories,pc,38,8903001001057,202,1-3/4,SS Flange — PH003 price list,0
SS-ACC-PH003-1-3-4-304,SS Flange 1-3/4 (304),Accessories,pc,50,8903001001058,304,1-3/4,SS Flange — PH003 price list,0
SS-ACC-PH003-2-202,SS Flange 2 (202),Accessories,pc,44,8903001001059,202,2,SS Flange — PH003 price list,0
SS-ACC-PH003-2-304,SS Flange 2 (304),Accessories,pc,65,8903001001060,304,2,SS Flange — PH003 price list,0
SS-ACC-PH003-2-1-2-202,SS Flange 2-1/2 (202),Accessories,pc,53,8903001001061,202,2-1/2,SS Flange — PH003 price list,0
SS-ACC-PH003-2-1-2-304,SS Flange 2-1/2 (304),Accessories,pc,75,8903001001062,304,2-1/2,SS Flange — PH003 price list,0
SS-ACC-PH003-3-202,SS Flange 3 (202),Accessories,pc,60,8903001001063,202,3,SS Flange — PH003 price list,0
SS-ACC-PH003-3-304,SS Flange 3 (304),Accessories,pc,85,8903001001064,304,3,SS Flange — PH003 price list,0
SS-ACC-PH003-4-202,SS Flange 4 (202),Accessories,pc,150,8903001001065,202,4,SS Flange — PH003 price list,0
SS-ACC-PH003-1-1-2X1-1-2-304,SS Flange 1-1/2x1-1/2 (304),Accessories,pc,260,8903001001066,304,1-1/2x1-1/2,SS Flange — PH003 price list,0
SS-ACC-PH003-2X2-304,SS Flange 2x2 (304),Accessories,pc,280,8903001001067,304,2x2,SS Flange — PH003 price list,0
SS-ACC-PH004-1-4-202,SS Flat Flange 1/4 (202),Accessories,pc,8,8903001001068,202,1/4,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-1-4-304,SS Flat Flange 1/4 (304),Accessories,pc,12,8903001001069,304,1/4,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-5-16-202,SS Flat Flange 5/16 (202),Accessories,pc,10,8903001001070,202,5/16,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-5-16-304,SS Flat Flange 5/16 (304),Accessories,pc,15,8903001001071,304,5/16,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-3-8-202,SS Flat Flange 3/8 (202),Accessories,pc,12,8903001001072,202,3/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-3-8-304,SS Flat Flange 3/8 (304),Accessories,pc,20,8903001001073,304,3/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-1-2-202,SS Flat Flange 1/2 (202),Accessories,pc,20,8903001001074,202,1/2,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-1-2-304,SS Flat Flange 1/2 (304),Accessories,pc,35,8903001001075,304,1/2,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-5-8-202,SS Flat Flange 5/8 (202),Accessories,pc,35,8903001001076,202,5/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-5-8-304,SS Flat Flange 5/8 (304),Accessories,pc,45,8903001001077,304,5/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-3-4-202,SS Flat Flange 3/4 (202),Accessories,pc,44,8903001001078,202,3/4,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-3-4-304,SS Flat Flange 3/4 (304),Accessories,pc,55,8903001001079,304,3/4,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-7-8-202,SS Flat Flange 7/8 (202),Accessories,pc,57,8903001001080,202,7/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-7-8-304,SS Flat Flange 7/8 (304),Accessories,pc,68,8903001001081,304,7/8,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-1-202,SS Flat Flange 1 (202),Accessories,pc,70,8903001001082,202,1,SS Flat Flange — PH004 price list,0
SS-ACC-PH004-1-304,SS Flat Flange 1 (304),Accessories,pc,85,8903001001083,304,1,SS Flat Flange — PH004 price list,0
SS-ACC-PH005-1X2-304,SS SQ Flat Flange Cover 1x2 (304),Accessories,pc,130,8903001001084,304,1x2,SS SQ Flat Flange Cover — PH005 price list,0
SS-ACC-PH005-1-1-2X1-1-2-304,SS SQ Flat Flange Cover 1-1/2x1-1/2 (304),Accessories,pc,130,8903001001085,304,1-1/2x1-1/2,SS SQ Flat Flange Cover — PH005 price list,0
SS-ACC-PH005-2X2-304,SS SQ Flat Flange Cover 2x2 (304),Accessories,pc,130,8903001001086,304,2x2,SS SQ Flat Flange Cover — PH005 price list,0
SS-ACC-PH005-COVER-40-304,SS SQ Flat Flange Cover Cover 40 (304),Accessories,pc,40,8903001001087,304,Cover 40,SS SQ Flat Flange Cover — PH005 price list,0
SS-ACC-PH006-3-202,SS Cover 3 (202),Accessories,pc,42,8903001001088,202,3,SS Cover — PH006 price list,0
SS-ACC-PH006-3-304,SS Cover 3 (304),Accessories,pc,72,8903001001089,304,3,SS Cover — PH006 price list,0
SS-ACC-PH006-4-304,SS Cover 4 (304),Accessories,pc,100,8903001001090,304,4,SS Cover — PH006 price list,0
SS-ACC-PH007-3-4X3-4-304,SS SQ Cover 3/4x3/4 (304),Accessories,pc,16,8903001001091,304,3/4x3/4,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-1X1-304,SS SQ Cover 1x1 (304),Accessories,pc,18,8903001001092,304,1x1,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-1-1-4X1-1-4-304,SS SQ Cover 1-1/4x1-1/4 (304),Accessories,pc,24,8903001001093,304,1-1/4x1-1/4,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-1-1-2X1-1-2-304,SS SQ Cover 1-1/2x1-1/2 (304),Accessories,pc,25,8903001001094,304,1-1/2x1-1/2,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-2X2-304,SS SQ Cover 2x2 (304),Accessories,pc,27,8903001001095,304,2x2,SS SQ Cover — PH007 price list,0
SS-ACC-PH007-1X1-1-2-304,SS SQ Cover 1x1-1/2 (304),Accessories,pc,25,8903001001096,304,1x1-1/2,SS SQ Cover — PH007 price list,0
