"SKU","Name","Category","Unit","UnitPrice","Barcode","Grade","Size","Thickness","MaterialType","Description","StockQuantity"
"SS-SHT202-2B-0P4","SS Sheet 202 2B 0.4mm","Stainless Sheets","sheet","759","","202","4ft x 8ft","0.4mm","2B","Stainless sheet 202 2B 0.4mm","0"
"SS-SHT202-2B-0P5","SS Sheet 202 2B 0.5mm","Stainless Sheets","sheet","999","","202","4ft x 8ft","0.5mm","2B","Stainless sheet 202 2B 0.5mm","0"
"SS-SHT202-2B-0P6","SS Sheet 202 2B 0.6mm","Stainless Sheets","sheet","1164","","202","4ft x 8ft","0.6mm","2B","Stainless sheet 202 2B 0.6mm","0"
"SS-SHT202-2B-0P7","SS Sheet 202 2B 0.7mm","Stainless Sheets","sheet","1387","","202","4ft x 8ft","0.7mm","2B","Stainless sheet 202 2B 0.7mm","0"
"SS-SHT202-2B-0P8","SS Sheet 202 2B 0.8mm","Stainless Sheets","sheet","1616","","202","4ft x 8ft","0.8mm","2B","Stainless sheet 202 2B 0.8mm","0"
"SS-SHT202-2B-0P9","SS Sheet 202 2B 0.9mm","Stainless Sheets","sheet","1808","","202","4ft x 8ft","0.9mm","2B","Stainless sheet 202 2B 0.9mm","0"
"SS-SHT202-2B-1P0","SS Sheet 202 2B 1.0mm","Stainless Sheets","sheet","2017","","202","4ft x 8ft","1.0mm","2B","Stainless sheet 202 2B 1.0mm","0"
"SS-SHT202-2B-1P2","SS Sheet 202 2B 1.2mm","Stainless Sheets","sheet","2470","","202","4ft x 8ft","1.2mm","2B","Stainless sheet 202 2B 1.2mm","0"
"SS-SHT202-2B-1P5","SS Sheet 202 2B 1.5mm","Stainless Sheets","sheet","3143","","202","4ft x 8ft","1.5mm","2B","Stainless sheet 202 2B 1.5mm","0"
"SS-SHT202-2B-2P0","SS Sheet 202 2B 2.0mm","Stainless Sheets","sheet","4287","","202","4ft x 8ft","2.0mm","2B","Stainless sheet 202 2B 2.0mm","0"
"SS-SHT202-2B-3P0","SS Sheet 202 2B 3.0mm","Stainless Sheets","sheet","6528","","202","4ft x 8ft","3.0mm","2B","Stainless sheet 202 2B 3.0mm","0"
"SS-SHT202-1B-4P0","SS Sheet 202 1B 4.0mm","Stainless Sheets","sheet","8752","","202","4ft x 8ft","4.0mm","1B","Stainless sheet 202 1B 4.0mm","0"
"SS-SHT202-MIR-0P4","SS Sheet 202 MIR 0.4mm","Stainless Sheets","sheet","981","","202","4ft x 8ft","0.4mm","MIR","Stainless sheet 202 MIR 0.4mm","0"
"SS-SHT202-MIR-0P5","SS Sheet 202 MIR 0.5mm","Stainless Sheets","sheet","1221","","202","4ft x 8ft","0.5mm","MIR","Stainless sheet 202 MIR 0.5mm","0"
"SS-SHT202-MIR-0P6","SS Sheet 202 MIR 0.6mm","Stainless Sheets","sheet","1386","","202","4ft x 8ft","0.6mm","MIR","Stainless sheet 202 MIR 0.6mm","0"
"SS-SHT202-MIR-0P7","SS Sheet 202 MIR 0.7mm","Stainless Sheets","sheet","1609","","202","4ft x 8ft","0.7mm","MIR","Stainless sheet 202 MIR 0.7mm","0"
"SS-SHT202-MIR-0P8","SS Sheet 202 MIR 0.8mm","Stainless Sheets","sheet","1837","","202","4ft x 8ft","0.8mm","MIR","Stainless sheet 202 MIR 0.8mm","0"
"SS-SHT202-MIR-0P9","SS Sheet 202 MIR 0.9mm","Stainless Sheets","sheet","2030","","202","4ft x 8ft","0.9mm","MIR","Stainless sheet 202 MIR 0.9mm","0"
"SS-SHT202-MIR-1P0","SS Sheet 202 MIR 1.0mm","Stainless Sheets","sheet","2239","","202","4ft x 8ft","1.0mm","MIR","Stainless sheet 202 MIR 1.0mm","0"
"SS-SHT202-MIR-1P2","SS Sheet 202 MIR 1.2mm","Stainless Sheets","sheet","2744","","202","4ft x 8ft","1.2mm","MIR","Stainless sheet 202 MIR 1.2mm","0"
"SS-SHT202-MIR-1P5","SS Sheet 202 MIR 1.5mm","Stainless Sheets","sheet","3418","","202","4ft x 8ft","1.5mm","MIR","Stainless sheet 202 MIR 1.5mm","0"
"SS-SHT202-MIR-3P0","SS Sheet 202 MIR 3.0mm","Stainless Sheets","sheet","4904","","202","4ft x 8ft","3.0mm","MIR","Stainless sheet 202 MIR 3.0mm","0"
"SS-SHT202-HL-0P6","SS Sheet 202 HL 0.6mm","Stainless Sheets","sheet","1344","","202","4ft x 8ft","0.6mm","HL","Stainless sheet 202 HL 0.6mm","0"
"SS-SHT202-HL-0P7","SS Sheet 202 HL 0.7mm","Stainless Sheets","sheet","1535","","202","4ft x 8ft","0.7mm","HL","Stainless sheet 202 HL 0.7mm","0"
"SS-SHT202-HL-0P8","SS Sheet 202 HL 0.8mm","Stainless Sheets","sheet","1763","","202","4ft x 8ft","0.8mm","HL","Stainless sheet 202 HL 0.8mm","0"
"SS-SHT202-HL-0P9","SS Sheet 202 HL 0.9mm","Stainless Sheets","sheet","1945","","202","4ft x 8ft","0.9mm","HL","Stainless sheet 202 HL 0.9mm","0"
"SS-SHT202-HL-1P0","SS Sheet 202 HL 1.0mm","Stainless Sheets","sheet","2155","","202","4ft x 8ft","1.0mm","HL","Stainless sheet 202 HL 1.0mm","0"
"SS-SHT202-HL-1P2","SS Sheet 202 HL 1.2mm","Stainless Sheets","sheet","2597","","202","4ft x 8ft","1.2mm","HL","Stainless sheet 202 HL 1.2mm","0"
"SS-SHT202-HL-1P5","SS Sheet 202 HL 1.5mm","Stainless Sheets","sheet","3259","","202","4ft x 8ft","1.5mm","HL","Stainless sheet 202 HL 1.5mm","0"
"SS-SHT202-HL-2P0","SS Sheet 202 HL 2.0mm","Stainless Sheets","sheet","4403","","202","4ft x 8ft","2.0mm","HL","Stainless sheet 202 HL 2.0mm","0"
"SS-SHT202-HL-3P0","SS Sheet 202 HL 3.0mm","Stainless Sheets","sheet","6647","","202","4ft x 8ft","3.0mm","HL","Stainless sheet 202 HL 3.0mm","0"
"SS-SHT202-2BCHK-1P0","SS Sheet 202 2B CHK 1.0mm","Stainless Sheets","sheet","2155","","202","4ft x 8ft","1.0mm","2B CHK","Stainless sheet 202 2B CHK 1.0mm","0"
"SS-SHT202-2BCHK-1P2","SS Sheet 202 2B CHK 1.2mm","Stainless Sheets","sheet","2597","","202","4ft x 8ft","1.2mm","2B CHK","Stainless sheet 202 2B CHK 1.2mm","0"
"SS-SHT202-2BCHK-1P5","SS Sheet 202 2B CHK 1.5mm","Stainless Sheets","sheet","3259","","202","4ft x 8ft","1.5mm","2B CHK","Stainless sheet 202 2B CHK 1.5mm","0"
"SS-SHT202-2BCHK-2P0","SS Sheet 202 2B CHK 2.0mm","Stainless Sheets","sheet","4403","","202","4ft x 8ft","2.0mm","2B CHK","Stainless sheet 202 2B CHK 2.0mm","0"
"SS-SHT202-2BCHK-3P0","SS Sheet 202 2B CHK 3.0mm","Stainless Sheets","sheet","6647","","202","4ft x 8ft","3.0mm","2B CHK","Stainless sheet 202 2B CHK 3.0mm","0"
"SS-SHT202-MIRCHK-0P6","SS Sheet 202 MIR CHK 0.6mm","Stainless Sheets","sheet","1386","","202","4ft x 8ft","0.6mm","MIR CHK","Stainless sheet 202 MIR CHK 0.6mm","0"
"SS-SHT202-MIRCHK-0P7","SS Sheet 202 MIR CHK 0.7mm","Stainless Sheets","sheet","1609","","202","4ft x 8ft","0.7mm","MIR CHK","Stainless sheet 202 MIR CHK 0.7mm","0"
"SS-SHT202-MIRCHK-0P8","SS Sheet 202 MIR CHK 0.8mm","Stainless Sheets","sheet","1837","","202","4ft x 8ft","0.8mm","MIR CHK","Stainless sheet 202 MIR CHK 0.8mm","0"
"SS-SHT202-MIRCHK-0P9","SS Sheet 202 MIR CHK 0.9mm","Stainless Sheets","sheet","2030","","202","4ft x 8ft","0.9mm","MIR CHK","Stainless sheet 202 MIR CHK 0.9mm","0"
"SS-SHT202-MIRCHK-1P0","SS Sheet 202 MIR CHK 1.0mm","Stainless Sheets","sheet","2303","","202","4ft x 8ft","1.0mm","MIR CHK","Stainless sheet 202 MIR CHK 1.0mm","0"
"SS-SHT202-MIRCHK-1P2","SS Sheet 202 MIR CHK 1.2mm","Stainless Sheets","sheet","2755","","202","4ft x 8ft","1.2mm","MIR CHK","Stainless sheet 202 MIR CHK 1.2mm","0"
"SS-SHT202-MIRCHK-1P5","SS Sheet 202 MIR CHK 1.5mm","Stainless Sheets","sheet","3534","","202","4ft x 8ft","1.5mm","MIR CHK","Stainless sheet 202 MIR CHK 1.5mm","0"
"SS-SHT304-2B-0P4","SS Sheet 304 2B 0.4mm","Stainless Sheets","sheet","1372","","304","4ft x 8ft","0.4mm","2B","Stainless sheet 304 2B 0.4mm","0"
"SS-SHT304-2B-0P5","SS Sheet 304 2B 0.5mm","Stainless Sheets","sheet","1622","","304","4ft x 8ft","0.5mm","2B","Stainless sheet 304 2B 0.5mm","0"
"SS-SHT304-2B-0P6","SS Sheet 304 2B 0.6mm","Stainless Sheets","sheet","2009","","304","4ft x 8ft","0.6mm","2B","Stainless sheet 304 2B 0.6mm","0"
"SS-SHT304-2B-0P7","SS Sheet 304 2B 0.7mm","Stainless Sheets","sheet","2359","","304","4ft x 8ft","0.7mm","2B","Stainless sheet 304 2B 0.7mm","0"
